what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324534531583
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324534535891
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324534542576
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324534544054
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324534544091
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324534549238
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324534552693
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324534553765
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324534558209
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1324534561318
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324534572097
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324534581201
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1324534587950
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324534589958
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324534595862
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324534601966
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324534603238
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324534608283
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1324534612708
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324534619179
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1324534621203
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1324534623601
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324534624037
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324534625305
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324534630062
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1324534650235
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1324534650611
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324534657239
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324534661526
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324534666546
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324534672465
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324534673593
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324534678718
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324534682299
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324534683648
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324534683680
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324534687089
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324534693682
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324534694841
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324534706175
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1324534708712
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324534713624
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324534714857
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324534717574
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324534723036
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324534723267
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324534724732
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.close",1324534724778
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324534725225
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324534726656
